id,title,author,author_nationality,genre,subgenre,language,pub_year,pages,publisher,isbn,series,series_number,rating,awards,description,keywords,cover_image_url
105,Shadows Thread,Henry Gonzalez,German,Mystery,Crime,Spanish,1971,540,Oxford Press,9783734120503,,,3.91,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,family,adventure",https://covers.openlibrary.org/b/isbn/9783734120503-L.jpg
106,First Thread,Noah Thomas,Italian,Fantasy,Epic Fantasy,Hindi,2020,746,Simon & Schuster,9786765866594,,,4.35,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,crime,love",https://covers.openlibrary.org/b/isbn/9786765866594-L.jpg
107,Silent Compass,Ethan Davis,Mexican,Science Fiction,Near-future,Spanish,1958,126,Faber & Faber,9788492830879,,,3.47,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,future,family",https://covers.openlibrary.org/b/isbn/9788492830879-L.jpg
108,Broken House,Noah Anderson,Nigerian,Thriller,Spy,Spanish,1964,883,Faber & Faber,9785793349970,,,3.69,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,secrets,magic",https://covers.openlibrary.org/b/isbn/9785793349970-L.jpg
109,Shadows Compass,Charlotte Jackson,Japanese,Horror,Gothic,Chinese,1953,893,Praia Azul,9789853098303,,,3.55,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,betrayal",https://covers.openlibrary.org/b/isbn/9789853098303-L.jpg
110,First Thread,Benjamin Hernandez,Swedish,Self-help,Personal Development,Japanese,2021,784,GreenLeaf,9784994280556,,,4.07,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,secrets,adventure",https://covers.openlibrary.org/b/isbn/9784994280556-L.jpg
111,Midnight Key,Aria Hernandez,Korean,Thriller,Spy,Hindi,1961,831,Cosmos Press,9788028899899,,,3.84,,A synthetic sample description generated for dataset testing and demonstrations.,"family,adventure,redemption",https://covers.openlibrary.org/b/isbn/9788028899899-L.jpg
112,First Thread,Amelia Taylor,Nigerian,Fiction,Literary Fiction,Italian,1958,797,Simon & Schuster,9787822079605,Series 25,7,3.64,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,magic,adventure",https://covers.openlibrary.org/b/isbn/9787822079605-L.jpg
113,First Key,Harper Anderson,German,Poetry,Modern,Chinese,1967,171,Vintage,9781813946358,,,4.11,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,secrets",https://covers.openlibrary.org/b/isbn/9781813946358-L.jpg
114,Hidden Promise,Harper Hernandez,Pakistani,Nonfiction,History,Spanish,1994,397,Vintage,9785303057845,,,3.26,,A synthetic sample description generated for dataset testing and demonstrations.,"history,magic,crime",https://covers.openlibrary.org/b/isbn/9785303057845-L.jpg
115,Last Compass,Benjamin Martinez,Egyptian,Thriller,Spy,English,2011,106,Bloomsbury,9788294452675,Series 29,4,3.4,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,love,history",https://covers.openlibrary.org/b/isbn/9788294452675-L.jpg
116,Hidden Garden,Olivia Lopez,American,Graphic Novel,Action,Japanese,1988,753,Cosmos Press,9781865015859,,,4.44,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,love,technology",https://covers.openlibrary.org/b/isbn/9781865015859-L.jpg
117,Hidden Compass,Jack Anderson,German,Mystery,Psychological Thriller,Portuguese,2009,323,GreenLeaf,9787332943267,Series 25,6,4.67,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,crime,betrayal",https://covers.openlibrary.org/b/isbn/9787332943267-L.jpg
118,Shadows River,Charlotte Smith,Spanish,Self-help,Personal Development,Hindi,2017,381,Macmillan,9785977421430,,,3.22,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,history,adventure",https://covers.openlibrary.org/b/isbn/9785977421430-L.jpg
119,Shadows Key,Liam Gonzalez,Indian,Science Fiction,Near-future,English,1968,326,GreenLeaf,9780645873047,Series 19,5,4.4,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,secrets,love",https://covers.openlibrary.org/b/isbn/9780645873047-L.jpg
120,Hidden House,Harper Jackson,Mexican,Nonfiction,History,Italian,2008,681,Macmillan,9787810900751,Series 17,6,4.53,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,betrayal,history",https://covers.openlibrary.org/b/isbn/9787810900751-L.jpg
121,Silent City,Mia Gonzalez,Mexican,Horror,Gothic,Hindi,2005,654,Bloomsbury,9787485176659,Series 20,6,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,betrayal,mystery",https://covers.openlibrary.org/b/isbn/9787485176659-L.jpg
122,Silent Thread,James Martin,American,Poetry,Modern,Portuguese,1991,488,Hachette,9785995317807,,,3.7,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,secrets,future",https://covers.openlibrary.org/b/isbn/9785995317807-L.jpg
123,Broken House,Sophia Moore,French,Mystery,Psychological Thriller,Japanese,2003,524,Lotus Reads,9785518316089,Series 17,6,4.14,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,love,betrayal",https://covers.openlibrary.org/b/isbn/9785518316089-L.jpg
124,Silent City,Aria Brown,Mexican,Graphic Novel,Action,Italian,1977,749,Hachette,9782129383431,,,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,betrayal,magic",https://covers.openlibrary.org/b/isbn/9782129383431-L.jpg
125,Broken Garden,Jack Davis,American,Mystery,Psychological Thriller,Arabic,1992,337,Vintage,9781788929196,,,3.49,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,secrets,family",https://covers.openlibrary.org/b/isbn/9781788929196-L.jpg
126,Silent Orchard,Aiden Lopez,Mexican,Horror,Gothic,Italian,1966,135,Willow Books,9780000790309,,,4.55,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,identity",https://covers.openlibrary.org/b/isbn/9780000790309-L.jpg
127,Broken Thread,Emma Hernandez,Mexican,Thriller,Spy,German,2004,300,Simon & Schuster,9781886394414,,,4.49,,A synthetic sample description generated for dataset testing and demonstrations.,"future,war,family",https://covers.openlibrary.org/b/isbn/9781886394414-L.jpg
128,Midnight House,Sophia Thomas,French,Graphic Novel,Action,German,1980,506,Riverbend,9786657298359,,,4.1,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,mystery,war",https://covers.openlibrary.org/b/isbn/9786657298359-L.jpg
129,Broken Key,Harper Miller,Chinese,Poetry,Modern,Portuguese,2018,657,NovaWorks,9780363547206,Series 9,1,3.82,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,mystery,betrayal",https://covers.openlibrary.org/b/isbn/9780363547206-L.jpg
130,Silent City,Liam Davis,Australian,Nonfiction,History,Spanish,2007,518,IndieWorks,9782762381627,,,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"history,love,betrayal",https://covers.openlibrary.org/b/isbn/9782762381627-L.jpg
131,Shadows Orchard,Henry Martinez,British,Children,Picture Book,Hindi,1994,524,HarperCollins,9782317812460,Series 7,2,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"future,family,love",https://covers.openlibrary.org/b/isbn/9782317812460-L.jpg
132,Shadows Garden,Olivia Thomas,Indian,Graphic Novel,Action,Spanish,2008,547,Lotus Reads,9786205809839,,,4.16,,A synthetic sample description generated for dataset testing and demonstrations.,"family,betrayal,future",https://covers.openlibrary.org/b/isbn/9786205809839-L.jpg
133,Broken City,Aria Moore,Italian,Self-help,Personal Development,Japanese,2008,424,HarperCollins,9786737166684,Series 21,2,3.89,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,history,future",https://covers.openlibrary.org/b/isbn/9786737166684-L.jpg
134,First City,Isabella Williams,German,Fiction,Literary Fiction,Spanish,1969,425,Praia Azul,9789217161391,Series 10,3,3.95,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,family,magic",https://covers.openlibrary.org/b/isbn/9789217161391-L.jpg
135,Broken Key,Mason Garcia,Swedish,Children,Picture Book,Chinese,1991,573,Marea Editore,9789139282358,Series 25,5,3.74,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,future,war",https://covers.openlibrary.org/b/isbn/9789139282358-L.jpg
136,Silent River,Amelia Jones,Australian,Mystery,Psychological Thriller,English,2005,130,GreenLeaf,9781018021003,,,4.25,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,betrayal,war",https://covers.openlibrary.org/b/isbn/9781018021003-L.jpg
137,Hidden Orchard,Isabella Taylor,Pakistani,Science Fiction,Space Opera,Spanish,2022,831,Hachette,9786130340780,Series 26,3,3.99,,A synthetic sample description generated for dataset testing and demonstrations.,"betrayal,redemption,future",https://covers.openlibrary.org/b/isbn/9786130340780-L.jpg
138,Broken Thread,Lucas Hernandez,Canadian,Children,Picture Book,Hindi,1958,283,Cambridge Press,9788273906724,Series 4,1,3.86,,A synthetic sample description generated for dataset testing and demonstrations.,"family,secrets,love",https://covers.openlibrary.org/b/isbn/9788273906724-L.jpg
139,Crimson Lantern,Noah Brown,Brazilian,Romance,Contemporary Romance,French,1975,192,Hachette,9782497480329,Series 13,1,3.31,,A synthetic sample description generated for dataset testing and demonstrations.,"war,love,redemption",https://covers.openlibrary.org/b/isbn/9782497480329-L.jpg
140,Midnight Key,Isabella Martinez,Egyptian,Horror,Gothic,Spanish,1993,625,Marea Editore,9789605125677,,,4.24,,A synthetic sample description generated for dataset testing and demonstrations.,"war,adventure,mystery",https://covers.openlibrary.org/b/isbn/9789605125677-L.jpg
141,Golden Lantern,Aria Lopez,Swedish,Romance,Contemporary Romance,French,1983,888,NeoPress,9781555089504,Series 15,2,3.24,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,future,technology",https://covers.openlibrary.org/b/isbn/9781555089504-L.jpg
142,Silent Compass,Charlotte Davis,Australian,Science Fiction,Space Opera,Arabic,2003,271,Simon & Schuster,9784123162937,,,3.28,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,crime,future",https://covers.openlibrary.org/b/isbn/9784123162937-L.jpg
143,Broken Key,Isabella Thomas,Swedish,Mystery,Psychological Thriller,Japanese,2022,244,Cambridge Press,9786702135479,,,3.4,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,secrets,future",https://covers.openlibrary.org/b/isbn/9786702135479-L.jpg
144,First Promise,Mason Lopez,American,Science Fiction,Near-future,Korean,1993,250,Marea Editore,9789950319844,,,3.97,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,future",https://covers.openlibrary.org/b/isbn/9789950319844-L.jpg
145,Golden River,Noah Williams,Swedish,Self-help,Personal Development,Italian,2002,475,Willow Books,9783310423400,,,3.62,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,family,crime",https://covers.openlibrary.org/b/isbn/9783310423400-L.jpg
146,Crimson Compass,Henry Martin,Swedish,Self-help,Personal Development,Arabic,1984,552,Marea Editore,9780582683693,,,4.37,,A synthetic sample description generated for dataset testing and demonstrations.,"future,redemption,secrets",https://covers.openlibrary.org/b/isbn/9780582683693-L.jpg
147,Broken Promise,Amelia Brown,Canadian,Children,Picture Book,Korean,1996,553,Penguin Random House,9784919552058,Series 5,4,3.88,,A synthetic sample description generated for dataset testing and demonstrations.,"family,crime,future",https://covers.openlibrary.org/b/isbn/9784919552058-L.jpg
148,Silent Compass,Ethan Johnson,American,Science Fiction,Space Opera,English,1984,361,Hachette,9788455811112,,,4.47,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,betrayal,love",https://covers.openlibrary.org/b/isbn/9788455811112-L.jpg
149,Golden Thread,Benjamin Martin,Russian,Young Adult,Contemporary,Chinese,2001,749,Macmillan,9784254784480,Series 26,6,3.97,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,magic,history",https://covers.openlibrary.org/b/isbn/9784254784480-L.jpg
150,Silent Orchard,Amelia Jackson,Italian,Nonfiction,History,English,1953,797,Hachette,9787685267997,Series 13,4,4.35,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,redemption,love",https://covers.openlibrary.org/b/isbn/9787685267997-L.jpg
151,Shadows Thread,Benjamin Rodriguez,Nigerian,Thriller,Spy,Chinese,2011,623,Vintage,9786802852511,,,3.82,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,identity,love",https://covers.openlibrary.org/b/isbn/9786802852511-L.jpg
152,Midnight Key,Luna Wilson,Spanish,Thriller,Spy,Spanish,1968,200,Penguin Random House,9785460759408,,,3.73,,A synthetic sample description generated for dataset testing and demonstrations.,"history,mystery,crime",https://covers.openlibrary.org/b/isbn/9785460759408-L.jpg
153,Last Garden,Amelia Anderson,Egyptian,Children,Picture Book,Portuguese,1967,675,Bloomsbury,9786606750327,,,4.21,,A synthetic sample description generated for dataset testing and demonstrations.,"technology,magic,future",https://covers.openlibrary.org/b/isbn/9786606750327-L.jpg
154,Silent River,Aria Thomas,Australian,Young Adult,Contemporary,Korean,1971,86,Vintage,9783676035477,,,4.56,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,mystery,adventure",https://covers.openlibrary.org/b/isbn/9783676035477-L.jpg
155,Crimson Thread,Charlotte Williams,Egyptian,Nonfiction,History,Chinese,1969,781,NeoPress,9787059204061,Series 6,4,4.67,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,identity,history",https://covers.openlibrary.org/b/isbn/9787059204061-L.jpg
156,Hidden Compass,Noah Moore,Brazilian,Children,Picture Book,German,2021,502,Willow Books,9781035642113,Series 1,7,4.66,,A synthetic sample description generated for dataset testing and demonstrations.,"war,technology,love",https://covers.openlibrary.org/b/isbn/9781035642113-L.jpg
157,Broken Thread,Jack Hernandez,German,Thriller,Spy,Hindi,1986,829,Vintage,9786169654759,Series 4,3,3.86,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,war,history",https://covers.openlibrary.org/b/isbn/9786169654759-L.jpg
158,Silent Orchard,Lucas Martin,Japanese,Poetry,Modern,Portuguese,1990,742,NeoPress,9781636296715,Series 19,1,3.34,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,redemption,crime",https://covers.openlibrary.org/b/isbn/9781636296715-L.jpg
159,Broken Compass,Olivia Brown,Russian,Romance,Contemporary Romance,English,1983,496,Bloomsbury,9780401049648,,,3.33,,A synthetic sample description generated for dataset testing and demonstrations.,"future,crime,secrets",https://covers.openlibrary.org/b/isbn/9780401049648-L.jpg
160,Hidden River,Aiden Davis,Swedish,Historical Fiction,War-era,Korean,1979,607,Riverbend,9782945437813,,,3.43,,A synthetic sample description generated for dataset testing and demonstrations.,"family,adventure,secrets",https://covers.openlibrary.org/b/isbn/9782945437813-L.jpg
161,Golden House,Jack Smith,Brazilian,Young Adult,Contemporary,French,1970,465,Marea Editore,9788345099552,,,4.61,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,history,future",https://covers.openlibrary.org/b/isbn/9788345099552-L.jpg
162,Hidden Lantern,Ethan Gonzalez,Mexican,Self-help,Personal Development,Portuguese,1980,224,Oxford Press,9786123794774,,,3.74,,A synthetic sample description generated for dataset testing and demonstrations.,"history,magic,war",https://covers.openlibrary.org/b/isbn/9786123794774-L.jpg
163,Hidden Promise,Amelia Wilson,Swedish,Fiction,Literary Fiction,Spanish,2002,266,NovaWorks,9789112201161,,,4.56,,A synthetic sample description generated for dataset testing and demonstrations.,"history,love,adventure",https://covers.openlibrary.org/b/isbn/9789112201161-L.jpg
164,Shadows Compass,Lucas Martinez,Brazilian,Horror,Gothic,German,2014,324,Penguin Random House,9783857698200,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"love,war,future",https://covers.openlibrary.org/b/isbn/9783857698200-L.jpg
165,Shadows Promise,Amelia Davis,Egyptian,Science Fiction,Space Opera,Italian,1966,437,Macmillan,9783511688202,,,4.23,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,future,betrayal",https://covers.openlibrary.org/b/isbn/9783511688202-L.jpg
166,Midnight River,Amelia Thomas,Japanese,Romance,Contemporary Romance,German,1950,785,NovaWorks,9781922137920,Series 26,2,4.32,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,secrets,magic",https://covers.openlibrary.org/b/isbn/9781922137920-L.jpg
167,Last Compass,Aria Jones,Spanish,Poetry,Modern,Portuguese,1984,574,Hachette,9787909466861,,,4.29,,A synthetic sample description generated for dataset testing and demonstrations.,"family,technology,crime",https://covers.openlibrary.org/b/isbn/9787909466861-L.jpg
168,First Garden,Amelia Thomas,French,Historical Fiction,War-era,Italian,2025,600,NovaWorks,9781093826661,Series 1,4,3.42,,A synthetic sample description generated for dataset testing and demonstrations.,"love,crime,redemption",https://covers.openlibrary.org/b/isbn/9781093826661-L.jpg
169,Shadows City,Emma Hernandez,Korean,Graphic Novel,Action,Arabic,1999,794,IndieWorks,9789245628057,,,4.64,,A synthetic sample description generated for dataset testing and demonstrations.,"war,history,family",https://covers.openlibrary.org/b/isbn/9789245628057-L.jpg
170,Silent Garden,Liam Brown,Mexican,Horror,Gothic,Portuguese,1976,148,Bloomsbury,9781604454239,,,4.6,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,technology,betrayal",https://covers.openlibrary.org/b/isbn/9781604454239-L.jpg
171,First Thread,Aiden Jackson,Canadian,Self-help,Personal Development,Hindi,2005,117,Willow Books,9784872621532,,,4.35,,A synthetic sample description generated for dataset testing and demonstrations.,"future,secrets,identity",https://covers.openlibrary.org/b/isbn/9784872621532-L.jpg
172,Crimson Orchard,Liam Anderson,Russian,Science Fiction,Space Opera,Hindi,1971,147,Oxford Press,9780110693699,Series 27,4,4.02,,A synthetic sample description generated for dataset testing and demonstrations.,"love,technology,magic",https://covers.openlibrary.org/b/isbn/9780110693699-L.jpg
173,Last Key,Ethan Jones,Spanish,Poetry,Modern,Portuguese,1996,387,Praia Azul,9784297757588,,,4.49,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,technology,future",https://covers.openlibrary.org/b/isbn/9784297757588-L.jpg
174,Broken House,Isabella Garcia,American,Historical Fiction,War-era,Hindi,2001,410,Cambridge Press,9785459596328,Series 11,3,4.29,,A synthetic sample description generated for dataset testing and demonstrations.,"family,betrayal,war",https://covers.openlibrary.org/b/isbn/9785459596328-L.jpg
175,Broken Promise,Aiden Moore,Indian,Science Fiction,Space Opera,Hindi,1985,611,HarperCollins,9789055413775,,,3.42,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,adventure,crime",https://covers.openlibrary.org/b/isbn/9789055413775-L.jpg
176,Silent Key,Ethan Gonzalez,Japanese,Poetry,Modern,French,1973,594,Riverbend,9789463031332,,,4.46,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,future,history",https://covers.openlibrary.org/b/isbn/9789463031332-L.jpg
177,Golden City,Olivia Martin,Canadian,Science Fiction,Near-future,German,1970,704,Hachette,9781315080802,,,3.8,,A synthetic sample description generated for dataset testing and demonstrations.,"identity,magic,redemption",https://covers.openlibrary.org/b/isbn/9781315080802-L.jpg
178,Golden River,Olivia Taylor,Chinese,Thriller,Spy,Chinese,1994,745,Cosmos Press,9781133365563,,,4.49,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,secrets",https://covers.openlibrary.org/b/isbn/9781133365563-L.jpg
179,Crimson Key,Aria Davis,Australian,Fantasy,Epic Fantasy,Spanish,1990,624,Macmillan,9788332026738,,,3.54,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,war,history",https://covers.openlibrary.org/b/isbn/9788332026738-L.jpg
180,Hidden Thread,Benjamin Rodriguez,Spanish,Mystery,Crime,Portuguese,1985,140,Riverbend,9787439921960,,,4.06,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,technology,adventure",https://covers.openlibrary.org/b/isbn/9787439921960-L.jpg
181,First Key,Mason Taylor,Mexican,Nonfiction,History,Korean,1983,838,Praia Azul,9789167842500,,,3.38,,A synthetic sample description generated for dataset testing and demonstrations.,"family,adventure,history",https://covers.openlibrary.org/b/isbn/9789167842500-L.jpg
182,Midnight Promise,Aiden Wilson,Chinese,Science Fiction,Space Opera,Hindi,1988,656,Praia Azul,9781350705715,Series 1,1,4.65,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,family,crime",https://covers.openlibrary.org/b/isbn/9781350705715-L.jpg
183,Crimson City,Lucas Moore,Italian,Thriller,Spy,French,1981,169,Bloomsbury,9788029232718,,,4.36,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,history,technology",https://covers.openlibrary.org/b/isbn/9788029232718-L.jpg
184,Midnight Compass,Emma Lopez,Indian,Young Adult,Contemporary,Spanish,1994,111,Faber & Faber,9785460780969,,,3.51,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,war,family",https://covers.openlibrary.org/b/isbn/9785460780969-L.jpg
185,First City,Amelia Lopez,Irish,Fantasy,Epic Fantasy,Korean,1950,757,Cosmos Press,9782139796955,,,3.58,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,adventure,future",https://covers.openlibrary.org/b/isbn/9782139796955-L.jpg
186,Crimson Lantern,Luna Miller,Brazilian,Mystery,Psychological Thriller,Korean,2021,889,Hachette,9781088416273,,,3.45,,A synthetic sample description generated for dataset testing and demonstrations.,"history,technology,redemption",https://covers.openlibrary.org/b/isbn/9781088416273-L.jpg
187,Broken River,Isabella Martin,Brazilian,Self-help,Personal Development,Italian,1975,748,HarperCollins,9789810780746,,,4.69,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,identity,magic",https://covers.openlibrary.org/b/isbn/9789810780746-L.jpg
188,Midnight City,Lucas Lopez,Pakistani,Horror,Gothic,Hindi,1951,768,Hachette,9786815697093,,,4.13,,A synthetic sample description generated for dataset testing and demonstrations.,"love,crime,technology",https://covers.openlibrary.org/b/isbn/9786815697093-L.jpg
189,Crimson City,Aiden Wilson,Egyptian,Fantasy,Epic Fantasy,French,2025,600,NovaWorks,9781531513405,Series 2,3,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"history,technology,redemption",https://covers.openlibrary.org/b/isbn/9781531513405-L.jpg
190,Silent Thread,Olivia Thomas,British,Fantasy,Epic Fantasy,Italian,2019,802,Penguin Random House,9783842882249,Series 18,6,3.91,,A synthetic sample description generated for dataset testing and demonstrations.,"love,war,magic",https://covers.openlibrary.org/b/isbn/9783842882249-L.jpg
191,Last Lantern,Emma Miller,Egyptian,Fantasy,Epic Fantasy,Spanish,1952,111,Hachette,9782352559191,,,4.16,,A synthetic sample description generated for dataset testing and demonstrations.,"family,secrets,mystery",https://covers.openlibrary.org/b/isbn/9782352559191-L.jpg
192,Hidden House,Olivia Jones,Japanese,Fantasy,Urban Fantasy,Korean,2007,698,Faber & Faber,9780639225791,,,4.13,,A synthetic sample description generated for dataset testing and demonstrations.,"future,secrets,betrayal",https://covers.openlibrary.org/b/isbn/9780639225791-L.jpg
193,Silent Key,Benjamin Moore,Italian,Self-help,Personal Development,Spanish,1988,383,Faber & Faber,9785058090111,Series 11,2,3.57,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,family,secrets",https://covers.openlibrary.org/b/isbn/9785058090111-L.jpg
194,Silent Thread,Lucas Jones,Swedish,Science Fiction,Near-future,Spanish,1975,599,Marea Editore,9786634628407,Series 1,1,3.78,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,redemption,mystery",https://covers.openlibrary.org/b/isbn/9786634628407-L.jpg
195,Silent Thread,James Hernandez,Egyptian,Speculative,Magical Realism,Chinese,1974,832,Oxford Press,9784279682273,,,3.22,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,love,redemption",https://covers.openlibrary.org/b/isbn/9784279682273-L.jpg
196,Silent Lantern,Sophia Wilson,Korean,Poetry,Modern,English,2005,568,Cambridge Press,9786041188051,Series 27,1,3.46,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,betrayal,love",https://covers.openlibrary.org/b/isbn/9786041188051-L.jpg
197,Hidden City,Aria Anderson,British,Nonfiction,Memoir,Korean,1991,690,Macmillan,9786661555851,,,4.19,,A synthetic sample description generated for dataset testing and demonstrations.,"war,mystery,adventure",https://covers.openlibrary.org/b/isbn/9786661555851-L.jpg
198,Hidden City,Liam Johnson,Irish,Historical Fiction,War-era,Japanese,1997,412,Oxford Press,9788115908152,,,3.49,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,magic,technology",https://covers.openlibrary.org/b/isbn/9788115908152-L.jpg
199,Crimson Garden,Olivia Garcia,Australian,Fiction,Literary Fiction,French,2014,335,Cosmos Press,9785706394752,,,3.81,,A synthetic sample description generated for dataset testing and demonstrations.,"secrets,mystery,love",https://covers.openlibrary.org/b/isbn/9785706394752-L.jpg
200,Last Compass,Emma Davis,German,Young Adult,Contemporary,German,1964,817,Marea Editore,9783023576110,,,4.31,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,technology,war",https://covers.openlibrary.org/b/isbn/9783023576110-L.jpg
201,Silent Compass,Harper Lopez,Spanish,Horror,Gothic,Chinese,1999,197,Hachette,9787359365882,,,3.75,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,adventure,secrets",https://covers.openlibrary.org/b/isbn/9787359365882-L.jpg
202,Silent House,Harper Thomas,Spanish,Speculative,Magical Realism,Portuguese,1966,765,IndieWorks,9783843670050,,,4.0,,A synthetic sample description generated for dataset testing and demonstrations.,"mystery,magic,redemption",https://covers.openlibrary.org/b/isbn/9783843670050-L.jpg
203,Midnight Garden,Noah Wilson,Korean,Romance,Contemporary Romance,Portuguese,1978,265,Macmillan,9781192438024,,,4.26,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,love,history",https://covers.openlibrary.org/b/isbn/9781192438024-L.jpg
204,Hidden Promise,Liam Gonzalez,Indian,Mystery,Psychological Thriller,Chinese,1993,232,Cosmos Press,9787775063324,Series 25,3,3.76,,A synthetic sample description generated for dataset testing and demonstrations.,"magic,family,future",https://covers.openlibrary.org/b/isbn/9787775063324-L.jpg
205,Golden Compass,Isabella Johnson,Pakistani,Poetry,Modern,French,1968,608,IndieWorks,9787844656877,,,4.44,,A synthetic sample description generated for dataset testing and demonstrations.,"redemption,mystery,future",https://covers.openlibrary.org/b/isbn/9787844656877-L.jpg
206,First River,Mia Johnson,Pakistani,Nonfiction,History,Arabic,2020,460,HarperCollins,9781546674979,,,3.88,,A synthetic sample description generated for dataset testing and demonstrations.,"crime,family,history",https://covers.openlibrary.org/b/isbn/9781546674979-L.jpg
207,Hidden Compass,James Rodriguez,Mexican,Fiction,Literary Fiction,Japanese,2000,736,Simon & Schuster,9781412513043,,,4.57,,A synthetic sample description generated for dataset testing and demonstrations.,"history,love,betrayal",https://covers.openlibrary.org/b/isbn/9781412513043-L.jpg
208,Last Promise,Aiden Lopez,British,Children,Picture Book,Japanese,1951,428,Faber & Faber,9786583620705,,,3.95,,A synthetic sample description generated for dataset testing and demonstrations.,"love,history,war",https://covers.openlibrary.org/b/isbn/9786583620705-L.jpg
209,Hidden Garden,Liam Taylor,Russian,Self-help,Personal Development,Arabic,1995,523,Cambridge Press,9787704317917,,,4.51,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,love,war",https://covers.openlibrary.org/b/isbn/9787704317917-L.jpg
210,Last Compass,Mason Rodriguez,French,Nonfiction,Memoir,Italian,1964,587,Willow Books,9786978469414,,,3.61,,A synthetic sample description generated for dataset testing and demonstrations.,"war,technology,identity",https://covers.openlibrary.org/b/isbn/9786978469414-L.jpg
211,Crimson House,James Johnson,Nigerian,Science Fiction,Space Opera,Portuguese,2005,756,Bloomsbury,9784802265126,,,3.96,,A synthetic sample description generated for dataset testing and demonstrations.,"love,mystery,history",https://covers.openlibrary.org/b/isbn/9784802265126-L.jpg
212,Golden City,Mia Brown,Pakistani,Poetry,Modern,German,2022,818,GreenLeaf,9789431374638,,,4.48,,A synthetic sample description generated for dataset testing and demonstrations.,"adventure,magic,betrayal",https://covers.openlibrary.org/b/isbn/9789431374638-L.jpg
